status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
81221197163_10155841248842164,"""I don't know where this feeling came from. It was just inside of me. It's like a hunger that never goes away. When you lose, it's like you're starving. When you win, it's still like you're starving, but you ate a little crumb.""

Read my full story: 
https://www.theplayerstribune.com/cristiano-ronaldo-madrid-english/",Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155841248842164/?type=3,https://www.facebook.com/Cristiano/posts/10155841248842164:0,2017-10-03 09:17:57,444606,5123,5306,407293,34400,2187,545,81,101
81221197163_10155841238217164,"Check out the trailer of my conversation with Rio Ferdinand
To watch the full version go to: https://youtu.be/yBjBEGRacJc
#Mercurial #CR7 #NikeFootball",,video,https://www.facebook.com/Cristiano/videos/10155841238217164/,https://www.facebook.com/Cristiano/videos/10155841238217164/,2017-10-03 06:33:32,330896,3633,12417,299777,27334,3149,538,47,51
81221197163_10155838934057164,A sneak peek into THE FUTURE OF DENIM 💪 Shop my new #CR7Denim collection now on www.CR7.com CR7 Limitless #DesignedToMoveYou,CR7 Denim | The Future of Denim (Teaser),video,https://www.youtube.com/watch?v=dbV3dNChn6E&feature=youtu.be,https://www.facebook.com/Cristiano/posts/10155838934057164,2017-10-02 11:00:00,73145,885,420,67618,5074,372,59,9,13
81221197163_10155833172772164,"Estarás sempre connosco. Parabéns, pai. Parabéns, avô.🙏🏽❤️",,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155833172282164/?type=3,https://www.facebook.com/Cristiano/posts/10155833172772164,2017-09-30 07:44:40,1408767,15099,17009,1261122,136737,6897,1591,2209,211
81221197163_10155760082714288,Created in FIFA 18. Brought to life by me. It's More Than A Game.,FIFA 18 Launch Commercial | More Than a Game,video,https://www.facebook.com/Cristiano/videos/10155760082714288/,https://www.facebook.com/Cristiano/videos/10155760082714288/,2017-09-29 12:00:00,123085,3721,6838,106206,13768,2536,513,29,33
81221197163_10155830903947164,,Cristiano Ronaldo's cover photo,photo,https://www.facebook.com/Cristiano/photos/a.10150674227847164.407326.81221197163/10155830903632164/?type=3,https://www.facebook.com/Cristiano/posts/10155830903947164,2017-09-29 10:37:43,251644,2757,1498,225004,23700,2438,384,52,66
81221197163_10155830313842164,I think Cris loves them more than I do! 😜❤️ Chapter 5: available now on nike.com/CR7 #Mercurial Nike Football,,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155830308592164/?type=3,https://www.facebook.com/Cristiano/posts/10155830313842164,2017-09-29 06:33:26,923045,8031,12262,840309,75927,5248,1261,153,148
81221197163_10155826020972164,Have you already take part in the #CR7Challenge? Show me your best trick⚽️💪 and don't forget to nominate 7 of your friends to do the same!,,video,https://www.facebook.com/Cristiano/videos/10155826020972164/,https://www.facebook.com/Cristiano/videos/10155826020972164/,2017-09-27 13:36:04,235926,3957,8137,208970,23059,3412,385,41,59
81221197163_10155825407257164,👌👌👌,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155825406802164/?type=3,https://www.facebook.com/Cristiano/posts/10155825407257164,2017-09-27 08:44:45,556427,6178,5343,504213,47834,3117,1030,63,170
81221197163_10155823739952164,✈️,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155823739867164/?type=3,https://www.facebook.com/Cristiano/posts/10155823739952164,2017-09-26 16:29:59,864108,11334,10820,775076,76475,2448,9758,106,245
81221197163_10155820461312164,"Match day tomorrow. Let's do this 🙌 #Mercurial #CR7 #NikeFootball 
available on NIke.com/CR7, September 29th.",Photos from Cristiano Ronaldo's post,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155820460747164/?type=3,https://www.facebook.com/Cristiano/posts/10155820461312164,2017-09-25 13:49:31,352609,3282,2388,324961,25001,2115,414,63,55
81221197163_10155820020472164,😉,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155820020202164/?type=3,https://www.facebook.com/Cristiano/posts/10155820020472164,2017-09-25 11:11:25,966950,14887,8666,880180,76391,7422,2414,175,368
81221197163_10155819085137164,✈️ travel,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155819084962164/?type=3,https://www.facebook.com/Cristiano/posts/10155819085137164,2017-09-25 04:07:41,653466,8105,3453,610133,39112,2740,1207,106,168
81221197163_10155817029967164,"Very happy with my new CR7 Underwear FW17 collection ! 
 Which is your favorite?",Photos from Cristiano Ronaldo's post,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155817029097164/?type=3,https://www.facebook.com/Cristiano/posts/10155817029967164,2017-09-24 11:15:46,415462,8230,3490,375589,31614,3023,4943,86,207
81221197163_10155816423677164,Recovery session happy Sunday ✌️💕,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155816423212164/?type=3,https://www.facebook.com/Cristiano/posts/10155816423677164,2017-09-24 06:48:07,401725,3816,2538,371361,27917,1548,741,59,99
81221197163_10155810554042164,Unbeatable Performance with 2x the Power! 🤜🏼 🤛🏼 #CLEARMen,,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10155810547512164/?type=3,https://www.facebook.com/Cristiano/posts/10155810554042164,2017-09-22 12:30:00,178770,3295,1374,163229,12918,893,1609,33,88
81221197163_10155808439212164,"Can't wait to play in these 💎 ! #Mercurial #CR7 #NikeFootball
available on NIke.com/CR7, September 29th.",,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155808438447164/?type=3,https://www.facebook.com/Cristiano/posts/10155808439212164,2017-09-21 12:41:28,369711,6661,6864,323477,38100,7114,775,119,126
81221197163_10155804173702164,Un abrazo muy fuerte y solidario para Mexico,,photo,https://www.facebook.com/Cristiano/photos/a.10151985306187164.1073741843.81221197163/10155804171817164/?type=3,https://www.facebook.com/Cristiano/posts/10155804173702164,2017-09-20 03:55:09,384306,5962,11714,312007,55187,464,282,16259,107
81221197163_10155801851992164,"It's amazing to deal with a partner that is always achieving balance between its goals of sustainable development, social responsibility and a continuous advancement in the steel industry. Ahmed Abou Hashima Egyptian Steel #A_New_Generation_Of_Steel",,video,https://www.facebook.com/Cristiano/videos/10155801851992164/,https://www.facebook.com/Cristiano/videos/10155801851992164/,2017-09-19 11:00:00,94639,1251,792,85805,7920,724,153,9,28
81221197163_10155799332722164,😉 CR7 Underwear,,video,https://www.facebook.com/Cristiano/videos/10155799332722164/,https://www.facebook.com/Cristiano/videos/10155799332722164/,2017-09-18 14:10:00,199228,3777,1745,177121,18883,2067,1018,42,97
